品質特性,,品質副特性,,例
機能性,ソフトウェアが指定された条件下で、必要な機能を提供する能力,合目的性,"指定された作業,目的に合致している機能を提供する能力","端末同士で、通話が可能であること
全ての端末に一斉に指令を送れること"
,,正確性,"正確な処理機能や出力データを提供する能力
入力に対して、期待する出力を行う能力",処理結果を1 円未満は切り捨てで返すこと
,,相互運用性,ソフトウエアが指定された他のシステムとやりとりできる能力,外部の指令システムからのメッセージを受信できること
,,セキュリティ,"機密性, 可用性, 完全性が保たれること",権限のあるユーザーのみ、システムにアクセスできること
信頼性,指定された条件下で、ソフトウェアが指定された機能を維持する能力,成熟性,ソフトウェアに潜在する障害の結果として生じる故障を回避するソフトウェアの能力,年間の稼働率が、99.99%であること
,,障害許容性,障害が発生したときに指定されたきの機能を維持する能力,各サーバは冗長構成が取られ、片方で障害が発生しても業務を継続できること
,,回復性,障害が発生した後に、ソフトウェアの機能が正常に復帰する能力,"データのバックアップ及びリカバリー機能を有していること
冗長構成への復帰をシステム停止せずに行えることお"
使用性,"指定された条件下で、利用者が、理解, 習得, 利用でき利用にとって魅力的である能力",理解性,どのように利用できるかを利用者が理解できるソフトウェアの能力,既存システムと同じ操作性、同様の用語を使用していること
,,習得性,ソフトウェアの使い方を利用者が学習しやすいソフトウェアの能力,マニュアルを見なくても、表示されるガイダンスのみで操作が可能なこと
,,運用性,利用者がソフトウェアの運用及び、運用管理を行うことができるソフトウェアの能力,利用者が操作を中断及び再開といった制御ができること
,,魅力性,利用者にとって魅力的であるためのソフトウェアの能力,利用者が自分の利用方法にあった設定の変更が可能であること
効率性,指定された条件下で、ソフトウェアがコンピュータ資源を適切に利用し、期待されるパフォーマンスを提供する能力,時間的効率性,指定された条件下で、ソフトウェアが適切な応答時間で、処理時間、スループットで機能を実行する能力,"ページの表示が3秒以下であること
100リクエストを同時に処理できること"
,,資源効率性,機能実行時に、資源の量及び資源の種類を適切に使用するソフトウェアの能力,"高負荷時に、CPU,メモリなど各リソース十分に利用されていること"
保守性,実行環境の変更、機能変更などの必要性が生じた時に、ソフトウェアのしやすさに関わる能力,解析性,ソフトウェアの欠陥の診断、故障の原因の追究ができるソフトウェア製品の能力,"故障時に適切なメッセージがログに出力されていること
障害監視を行い、外部からその原因を特定できること"
,,変更性,ソフトウェアの変更要求などに対して、修正を行うことができる能力,"技術者の多い開発言語で開発されていること
各機能の独立性が高く、修正にかかるコスト期間が短いこと"
,,安定性,ソフトウェアの修正による予期せぬ影響を避けるソフトウェアの能力,各機能の独立性が高く、1つの機能に対する修正が他の機能に影響を与えないこと
,,試験性,修正したソフトウェアの妥当性確認ができるソフトウェアの能力,修正箇所に対して、テストが自動化できること
移植性,ある環境から他の環境に移すためのソフトウェアの能力,環境適合性,指定された異なる環境にソフトウェアを適応させる能力,RedHatディストリビューションからDebianディストリビューション環境へ移植できること
,,設置性,指定された環境に設置するためのソフトウェアの能力,ソフトウェアのインストールが、インストーラを使用することで完了すること
,,共存性,共通の資源を共有する共通の環境の中で、他のソフトウェアと共存するためのソフトウェアの能力,既存システムのソフトウェアと同時にインストールできること
,,置換性,同じ環境、目的のために他のソフトウェアから置き換えて使用することができるソフトウェアの能力,既存システムのデータをそのまま読み込み利用できること
